pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
0.0543164,0.531323,-1.88039,0.0254116,-0.0177398,0.531323,All
0.0545059,0.533643,-1.87792,0.025522,-0.0128058,0.533643,All
0.0617041,0.535963,-1.8771,0.0256325,-0.00824393,0.535963,All
0.0657468,0.538283,-1.87679,0.025743,0.000700669,0.538283,All
0.0730544,0.540603,-1.87613,0.0258535,0.00144884,0.540603,All
0.0763638,0.542923,-1.8758,0.025964,0.00201171,0.542923,All
0.0777021,0.545244,-1.87469,0.0260745,0.00222457,0.545244,All
0.0780846,0.547564,-1.87275,0.026185,0.00251856,0.547564,All
0.0869747,0.549884,-1.87194,0.0262954,0.00886162,0.549884,All
0.0900111,0.552204,-1.87192,0.0264059,0.0131118,0.552204,All
0.0903591,0.554524,-1.87187,0.0265164,0.0156998,0.554524,All
0.103001,0.556845,-1.87144,0.0266269,0.0198124,0.556845,All
0.105865,0.559165,-1.87042,0.0267374,0.0243753,0.559165,All
0.106882,0.561485,-1.86931,0.0268479,0.0337595,0.561485,All
0.109197,0.563805,-1.86771,0.0269583,0.0438534,0.563805,All
0.109812,0.566125,-1.86421,0.0270688,0.046607,0.566125,All
0.112831,0.568445,-1.86043,0.0271793,0.0470512,0.568445,All
0.117705,0.570766,-1.85908,0.0272898,0.0500292,0.570766,All
0.122761,0.573086,-1.85667,0.0274003,0.0514214,0.573086,All
0.125998,0.575406,-1.85306,0.0275108,0.0558627,0.575406,All
0.128265,0.577726,-1.84921,0.0276213,0.0636669,0.577726,All
0.131297,0.580046,-1.84791,0.0277317,0.0666927,0.580046,All
0.135724,0.582367,-1.84598,0.0278422,0.069092,0.582367,All
0.136901,0.584687,-1.84472,0.0279527,0.0691275,0.584687,All
0.139079,0.587007,-1.84454,0.0280632,0.0704377,0.587007,All
0.141243,0.589327,-1.84251,0.0281737,0.0711418,0.589327,All
0.142072,0.591647,-1.8415,0.0282842,0.0721011,0.591647,All
0.143072,0.593968,-1.84099,0.0283947,0.0737741,0.593968,All
0.147502,0.596288,-1.83923,0.0285051,0.0769603,0.596288,All
0.14929,0.598608,-1.839,0.0286156,0.0881829,0.598608,All
0.164602,0.600928,-1.83899,0.0287261,0.0913232,0.600928,All
0.165678,0.603248,-1.83811,0.0288366,0.094571,0.603248,All
0.165729,0.605568,-1.83668,0.0289471,0.105674,0.605568,All
