tin_abscissa,tin_cdf,beta_abscissa,beta_cdf,delta_abscissa,delta_cdf,p_abscissa,p_cdf,split
-4.48245,0.137302,1.49074e-08,0.138095,0.572475,0.138095,6230.27,0.137302,All
-4.47593,0.138095,1.49621e-08,0.138889,0.574059,0.138889,6234.02,0.138095,All
-4.4504,0.138889,1.49715e-08,0.139683,0.5749,0.139683,6235.54,0.138889,All
-4.45036,0.139683,1.49842e-08,0.140476,0.575678,0.140476,6238.4,0.139683,All
-4.44023,0.140476,1.50165e-08,0.14127,0.576085,0.14127,6240.1,0.140476,All
-4.42124,0.14127,1.50172e-08,0.142063,0.583578,0.142063,6241.61,0.14127,All
-4.4151,0.142063,1.50217e-08,0.142857,0.585003,0.142857,6247.44,0.142063,All
-4.41454,0.142857,1.50383e-08,0.143651,0.585503,0.143651,6250.21,0.142857,All
-4.40464,0.143651,1.50489e-08,0.144444,0.586416,0.144444,6253.95,0.143651,All
-4.38871,0.144444,1.50703e-08,0.145238,0.587526,0.145238,6264.85,0.144444,All
-4.38557,0.145238,1.50787e-08,0.146032,0.588095,0.146032,6270.19,0.145238,All
-4.3855,0.146032,1.51168e-08,0.146825,0.588799,0.146825,6270.5,0.146032,All
-4.38291,0.146825,1.51239e-08,0.147619,0.588855,0.147619,6273.79,0.146825,All
-4.3747,0.147619,1.51441e-08,0.148413,0.590657,0.148413,6274.97,0.147619,All
-4.35823,0.148413,1.5164e-08,0.149206,0.591,0.149206,6275.01,0.148413,All
-4.35578,0.149206,1.51686e-08,0.15,0.592299,0.15,6275.86,0.149206,All
-4.33532,0.15,1.51782e-08,0.150794,0.59305,0.150794,6279.17,0.15,All
-4.31793,0.150794,1.51843e-08,0.151587,0.595563,0.151587,6279.41,0.150794,All
-4.30598,0.151587,1.51904e-08,0.152381,0.595567,0.152381,6289.14,0.151587,All
-4.29802,0.152381,1.51915e-08,0.153175,0.596082,0.153175,6293.2,0.152381,All
-4.29737,0.153175,1.52203e-08,0.153968,0.596572,0.153968,6293.33,0.153175,All
-4.26621,0.153968,1.52272e-08,0.154762,0.597557,0.154762,6295.66,0.153968,All
-4.26276,0.154762,1.52379e-08,0.155556,0.600955,0.155556,6297.97,0.154762,All
-4.25834,0.155556,1.52491e-08,0.156349,0.601217,0.156349,6300.62,0.155556,All
-4.2517,0.156349,1.52522e-08,0.157143,0.601293,0.157143,6301.67,0.156349,All
-4.23406,0.157143,1.52528e-08,0.157937,0.605066,0.157937,6302.64,0.157143,All
-4.22728,0.157937,1.52544e-08,0.15873,0.605282,0.15873,6303.29,0.157937,All
-4.20974,0.15873,1.52671e-08,0.159524,0.605464,0.159524,6311.04,0.15873,All
-4.20213,0.159524,1.52712e-08,0.160317,0.605903,0.160317,6320.09,0.159524,All
-4.20009,0.160317,1.52823e-08,0.161111,0.607286,0.161111,6323.41,0.160317,All
-4.19733,0.161111,1.52837e-08,0.161905,0.607422,0.161905,6327.47,0.161111,All
-4.18434,0.161905,1.52862e-08,0.162698,0.607702,0.162698,6329.27,0.161905,All
-4.17851,0.162698,1.53144e-08,0.163492,0.608484,0.163492,6338.52,0.162698,All
-4.17851,0.163492,1.53226e-08,0.164286,0.609304,0.164286,6340.77,0.163492,All
-4.17396,0.164286,1.53249e-08,0.165079,0.610523,0.165079,6343.08,0.164286,All
-4.16483,0.165079,1.53664e-08,0.165873,0.612117,0.165873,6344.18,0.165079,All
-4.15843,0.165873,1.53798e-08,0.166667,0.612784,0.166667,6344.61,0.165873,All
