standEta_tin_abscissa,standEta_tin_cdf,standEta_beta_abscissa,standEta_beta_cdf,standEta_delta_abscissa,standEta_delta_cdf,standEta_p_abscissa,standEta_p_cdf,split
-0.781836,0.200794,-0.837438,0.200794,-0.822326,0.200794,-0.805584,0.200794,All
-0.78123,0.201587,-0.836167,0.201587,-0.81184,0.201587,-0.804947,0.201587,All
-0.778989,0.202381,-0.83152,0.202381,-0.806118,0.202381,-0.802983,0.202381,All
-0.770141,0.203175,-0.830639,0.203175,-0.805211,0.203175,-0.802031,0.203175,All
-0.770073,0.203968,-0.829162,0.203968,-0.801866,0.203968,-0.798497,0.203968,All
-0.767631,0.204762,-0.829115,0.204762,-0.798798,0.204762,-0.795004,0.204762,All
-0.766936,0.205556,-0.825432,0.205556,-0.794662,0.205556,-0.79314,0.205556,All
-0.76485,0.206349,-0.824843,0.206349,-0.792111,0.206349,-0.791123,0.206349,All
-0.763786,0.207143,-0.822673,0.207143,-0.790804,0.207143,-0.79111,0.207143,All
-0.761022,0.207937,-0.817319,0.207937,-0.787562,0.207937,-0.785154,0.207937,All
-0.753096,0.20873,-0.813018,0.20873,-0.785688,0.20873,-0.783669,0.20873,All
-0.751831,0.209524,-0.806808,0.209524,-0.781694,0.209524,-0.780041,0.209524,All
-0.749948,0.210317,-0.798829,0.210317,-0.77641,0.210317,-0.779047,0.210317,All
-0.739872,0.211111,-0.796899,0.211111,-0.773195,0.211111,-0.776714,0.211111,All
-0.738729,0.211905,-0.793918,0.211905,-0.771218,0.211905,-0.774282,0.211905,All
-0.73648,0.212698,-0.791105,0.212698,-0.770526,0.212698,-0.773748,0.212698,All
-0.731487,0.213492,-0.788794,0.213492,-0.770119,0.213492,-0.772893,0.213492,All
-0.726846,0.214286,-0.788635,0.214286,-0.767445,0.214286,-0.770892,0.214286,All
-0.725854,0.215079,-0.785845,0.215079,-0.767218,0.215079,-0.768913,0.215079,All
-0.724716,0.215873,-0.78183,0.215873,-0.76457,0.215873,-0.763712,0.215873,All
